"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"11/11/2022","426,00","434,05","434,05","426,00","0,12K","-1,84%"
"10/11/2022","434,00","435,00","435,00","434,00","0,13K","-2,47%"
"09/11/2022","445,00","444,90","445,00","444,90","0,01K","2,49%"
"08/11/2022","434,20","435,00","435,00","434,20","0,32K","-5,50%"
"07/11/2022","459,45","460,00","460,00","458,00","0,15K","5,60%"
"04/11/2022","435,10","438,00","440,00","435,10","1,68K","-0,66%"
"03/11/2022","438,00","435,00","440,00","434,15","6,06K","0,00%"
"02/11/2022","438,00","442,00","442,00","435,00","2,07K","0,69%"
"01/11/2022","435,00","445,00","445,00","435,00","2,06K","-0,68%"
"31/10/2022","438,00","444,00","444,00","438,00","0,52K","0,69%"
"28/10/2022","435,00","440,00","440,00","435,00","6,50K","0,00%"
"27/10/2022","435,00","435,00","435,00","433,00","2,80K","0,00%"
"26/10/2022","435,00","440,00","440,00","435,00","2,21K","0,00%"
"25/10/2022","435,00","435,00","435,05","435,00","0,12K","-1,14%"
"24/10/2022","440,00","440,00","441,90","435,00","0,51K","1,15%"
"21/10/2022","435,00","431,00","440,00","431,00","1,21K","0,93%"
"20/10/2022","431,00","431,00","431,00","431,00","0,01K","0,65%"
"19/10/2022","428,20","428,20","428,20","428,20","0,00K","-0,42%"
"18/10/2022","430,00","429,00","442,45","429,00","0,19K","0,00%"
"17/10/2022","430,00","443,00","444,00","430,00","0,09K","0,23%"
"14/10/2022","429,00","439,00","442,00","429,00","0,05K","-3,38%"
"12/10/2022","444,00","428,00","444,00","428,00","0,15K","0,23%"
"11/10/2022","443,00","443,00","443,00","443,00","0,02K","0,68%"
"07/10/2022","440,00","443,00","443,00","440,00","0,06K","-0,90%"
"06/10/2022","444,00","435,00","444,00","435,00","0,10K","0,45%"
"04/10/2022","442,00","440,00","444,00","440,00","0,04K","0,45%"
"03/10/2022","440,00","440,00","440,00","440,00","0,04K","3,53%"
"30/09/2022","425,00","425,00","425,00","425,00","3,07K","0,00%"
"29/09/2022","425,00","440,00","440,00","425,00","3,52K","-2,75%"
"28/09/2022","437,00","437,00","437,00","437,00","21,14K","0,00%"
"27/09/2022","437,00","443,00","443,00","437,00","0,33K","-0,02%"
"23/09/2022","437,10","437,10","437,10","437,10","0,90K","-4,56%"
"22/09/2022","458,00","458,00","458,00","458,00","0,01K","-0,43%"
"21/09/2022","460,00","460,00","460,00","460,00","0,00K","0,00%"
"20/09/2022","460,00","460,00","460,00","460,00","0,02K","0,00%"
"16/09/2022","460,00","460,00","460,00","460,00","3,00K","0,00%"
"14/09/2022","460,00","460,00","460,00","460,00","2,00K","0,22%"
"13/09/2022","459,00","460,00","460,00","459,00","6,00K","-0,22%"
"12/09/2022","460,00","464,90","464,90","455,00","3,03K","0,00%"
"09/09/2022","460,00","460,00","460,00","460,00","5,70K","0,00%"
"08/09/2022","460,00","459,90","460,00","450,00","3,04K","0,02%"
"07/09/2022","459,90","460,00","460,00","459,90","26,85K","-0,04%"
"06/09/2022","460,10","465,00","465,00","460,10","0,02K","1,12%"
"05/09/2022","455,00","459,00","465,00","455,00","3,06K","-0,87%"
"02/09/2022","459,00","440,20","459,00","440,20","0,41K","1,83%"
"01/09/2022","450,75","450,75","450,75","450,75","0,01K","0,00%"
"31/08/2022","450,75","450,75","450,75","450,75","0,00K","2,44%"
"30/08/2022","440,00","440,10","440,10","440,00","0,10K","0,34%"
"26/08/2022","438,50","440,00","440,00","438,50","0,05K","-2,40%"
"25/08/2022","449,30","437,50","449,30","437,50","0,15K","-0,04%"
"24/08/2022","449,50","446,00","449,50","446,00","0,01K","0,81%"
